,0
0,29.71619176152636
1,328.5249513381667
2,456.39114161183596
3,1029.3391135785537
4,-434.2509737221676
5,-246.44249100373935
6,-137.18364175323958
7,-918.2065713482965
8,811.8523323031334
9,1493.7217636563219
10,271.97061241794523
11,1443.3884086262433
12,-178.54016523460012
13,0.03993363972585939
14,457.475690167596
15,-373.3315682723762
16,1878.1425614816992
17,-557.8805599367917
18,546.8667716171464
19,-67.96998005966574
20,-1550.8780173556218
21,-4976.322680527513
22,-1148.1525606278046
23,-658.0222459719138
24,-1460.4516188107038
25,-151.43774617752413
26,232.5160646927196
27,638.195689233418
28,346.0785147543363
29,-515.9510339261751
30,335.5195925503432
31,201.89277946711246
32,-236.41435116660006
33,1826.9182910836528
34,624.2853816916954
35,653.5567253758436
36,-11384.974284031066
37,-3515.7836389943513
38,1253.851113986869
39,-242.350326132055
40,103.29878793175756
41,-458.6399630701894
42,175.4197129433929
43,1342.8469154580373
44,-192.42939609164097
45,-768.2903161415272
46,-12576.768510891337
47,92993.5767448183
48,6122.502980565522
49,-39511.94618964631
50,-4126.945076022784
51,11317.41349750315
52,-8132.407678497308
53,7292.948030287924
54,-207078.45761515282
55,5050.893123721325
56,-3084.1379584120705
57,-7878.252295519784
58,-3049.7555336130813
59,-15173.77092272597
60,-67642.9074754345
61,7089.169822196601
62,4764.077664610939
63,-682.6011544691946
64,-1259.51660109854
65,4090.3101501296674
66,-37795.30062320934
67,932.1123714933119
68,-15146.718862298547
69,-3817.9867931595404
70,-38134.6155802614
71,1588.4917989401474
72,-3718.5837877243775
73,675.216007165144
74,18.19092440571913
75,-374.2858482357981
76,-5533.215347831544
77,-2499.1700647732364
78,-584.2934307708363
79,-236.9317563554817
80,-3036.76841902513
81,-808.0315885323292
82,-3090.787917701512
83,-6080.896381960208
84,1306.7089388557151
85,2118.2620258958264
86,1271.6990821915476
87,5335.3422651242345
88,8957.81186407101
89,-1035.0644424459394
90,-162.23503859935602
91,659.3346826875961
92,-282.62337144642015
93,2330.859744081369
94,-425.6888734067436
95,1373.6317668322508
96,539.767512160807
97,-1097.5323636583503
98,-1541.1162861289597
99,2262.1471141778297
100,-323.3628511083424
101,-2883.697515423523
102,483.1244849998288
103,-619.0764618460992
104,3240.4780046540636
105,1098.9024560984435
106,-1450.787740275191
107,929.5401182917956
108,2519.670482935602
109,2905.9169239202006
110,2059.1310100957544
111,-520.7848606602554
112,589.0233033351001
113,24.156228260045296
114,752.8053420073157
115,-77.992288073862
116,-6869.717421781348
117,352.949613511543
118,1630.0099883054286
119,702.5788368328772
120,1629.5164336671812
121,-472.69567542036043
122,4378.8354620495675
123,-4747.409901778458
124,419.56891453190855
125,-1668.1811162191302
126,-3733.014635954181
127,-2247.9126880964095
128,-1218.9733590111323
129,963.5155426554924
130,-3434.4737207951744
131,11954.869495902458
132,886.1369532775626
133,-392.8379574195614
134,551.7861502802346
135,602.3781434620442
136,-764.4342813946686
137,-1352.2353666545641
138,1609.6260058949033
139,2637.6042498705433
140,10442.613913049845
141,1574.8264813736712
142,1046.9100270990411
143,-30454.187737029843
144,1866.2079438569901
145,8079.489322419686
146,1510.297287421864
147,-215.75028121216718
148,997.1770184447623
149,12120.646460081158
150,-971.4882252867455
151,-301.0138813817764
152,468.3559629445761
153,-313.1919000299356
154,387.6478487632579
155,476.5218272862927
156,-11.035180207812118
157,-2999.4733620280326
158,-7841.237148474453
159,421.85386678451556
160,-240.18144702791562
161,-437.858751941411
162,432.1591524389797
163,480.21079607185595
164,-714.603027151347
165,-644.8414336726543
166,-10.509044647082462
167,485.0881815052436
168,1099.7424826890929
169,-7244.622622662784
170,544.3892278475641
171,1392.6348557230033
172,179.3006421557688
173,376.8570489369262
174,-246.22388670873323
175,402.1882197623497
